order_id,customer_id,customer_unique_id,customer_state,order_status,order_purchase_timestamp,total_items,total_item_price,total_freight,avg_payment_record_value,avg_review_score
00010242fe8c5a6d1ba2dd792cb16214,3ce436f183e68e07877b285a838db11a,871766c5855e863f6eccc05f988b23cb,rj,delivered,2017-09-13 08:59:02,1,58.9,13.29,72.19,5.0
00018f77f2f0320c557190d7a144bdd3,f6dd3ec061db4e3987629fe6b26e5cce,eb28e67c4c0b83846050ddfb8a35d051,sp,delivered,2017-04-26 10:53:06,1,239.9,19.93,259.83,4.0
000229ec398224ef6ca0657da4fc703e,6489ae5e4333f3693df5ad4372dab6d3,3818d81c6709e39d06b2738a8d3a2474,mg,delivered,2018-01-14 14:33:31,1,199.0,17.87,216.87,5.0
00024acbcdf0a6daa1e931b038114c75,d4eb9395c8c0431ee92fce09860c5a06,af861d436cfc08b2c2ddefd0ba074622,sp,delivered,2018-08-08 10:00:35,1,12.99,12.79,25.78,4.0
00042b26cf59d7ce69dfabb4e55b4fd9,58dbd0b2d70206bf40e62cd34e84d795,64b576fb70d441e8f1b2d7d446e483c5,sp,delivered,2017-02-04 13:57:51,1,199.9,18.14,218.04,5.0
00048cc3ae777c65dbb7d2a0634bc1ea,816cbea969fe5b689b39cfc97a506742,85c835d128beae5b4ce8602c491bf385,mg,delivered,2017-05-15 21:42:34,1,21.9,12.69,34.59,4.0
00054e8431b9d7675808bcb819fb4a32,32e2e6ab09e778d99bf2e0ecd4898718,635d9ac1680f03288e72ada3a1035803,sp,delivered,2017-12-10 11:53:48,1,19.9,11.85,31.75,4.0
000576fe39319847cbb9d288c5617fa6,9ed5e522dd9dd85b4af4a077526d8117,fda4476abb6307ab3c415b7e6d026526,sp,delivered,2018-07-04 12:08:27,1,810.0,70.75,880.75,5.0
0005a1a1728c9d785b8e2b08b904576c,16150771dfd4776261284213b89c304e,639d23421f5517f69d0c3d6e6564cf0e,sp,delivered,2018-03-19 18:40:33,1,145.95,11.65,157.6,1.0
0005f50442cb953dcd1d21e1fb923495,351d3cb2cee3c7fd0af6616c82df21d3,0782c41380992a5a533489063df0eef6,sp,delivered,2018-07-02 13:59:39,1,53.99,11.4,65.39,4.0
00061f2a7bc09da83e415a52dc8a4af1,c6fc061d86fab1e2b2eac259bac71a49,107e6259485efac66428a56f10801f4f,sp,delivered,2018-03-24 22:16:10,1,59.99,8.88,68.87,5.0
00063b381e2406b52ad429470734ebd5,6a899e55865de6549a58d2c6845e5604,3fb97204945ca0c01bcf3eee6031c5f1,sp,delivered,2018-07-27 17:21:27,1,45.0,12.98,57.98,5.0
0006ec9db01a64e59a68b2c340bf65a7,5d178120c29c61748ea95bac23cb8f25,7ed0ea20347f67fe61d1c99fdf8556ae,rj,delivered,2018-07-24 17:04:17,1,74.0,23.32,97.32,5.0
0008288aa423d2a3f00fcb17cd7d8719,2355af7c75e7c98b43a87b2a7f210dc5,9e4159995424971423b98c4a8bc11529,sp,delivered,2018-02-13 22:10:21,2,99.8,26.74,126.54,5.0
0009792311464db532ff765bf7b182ae,2a30c97668e81df7c17a8b14447aeeba,4987996ddcd0ddb20740fdce7c2bfbb1,mg,delivered,2018-08-14 20:43:09,1,99.9,27.65,127.55,5.0
0009c9a17f916a706d71784483a5d643,8a250edc40ebc5c3940ebc940f16a7eb,6062db572f3ef38b7a8ff4307abbfad3,sp,delivered,2018-04-25 09:10:41,1,639.0,11.34,650.34,4.0
000aed2e25dbad2f9ddb70584c5a2ded,fff5169e583fd07fac9fec88962f189d,6457be0b331148fb5454efc88d1e03d9,sp,delivered,2018-05-11 20:33:38,1,144.0,8.77,152.77,1.0
