order_purchase_timestamp,order_count,customer_count,revenue,average_order_value
2016-09-04,1,1,136.23,136.23
2016-09-11,1,1,75.06,75.06
2016-09-18,2,2,40.95,20.475
2016-09-25,0,0,0.0,
2016-10-02,1,1,109.34,109.34
2016-10-09,283,283,54244.05,191.6750883392226
2016-10-16,39,39,4675.1,119.87435897435898
2016-10-23,1,1,61.99,61.99
2016-10-30,0,0,0.0,
2016-11-06,0,0,0.0,
2016-11-13,0,0,0.0,
2016-11-20,0,0,0.0,
2016-11-27,0,0,0.0,
2016-12-04,0,0,0.0,
2016-12-11,0,0,0.0,
2016-12-18,0,0,0.0,
2016-12-25,1,1,19.62,19.62
2017-01-01,0,0,0.0,
2017-01-08,46,46,3953.17,85.93847826086957
2017-01-15,80,80,14873.37,185.917125
2017-01-22,197,197,28502.44,144.68243654822334
2017-01-29,354,354,65949.43,186.29782485875705
2017-02-05,467,467,83736.76,179.30783725910064
2017-02-12,548,548,91402.1,166.79215328467154
2017-02-19,411,411,66410.81,161.5834793187348
2017-02-26,379,379,56148.68,148.14955145118734
2017-03-05,497,497,89966.36,181.01883299798794
2017-03-12,582,582,92844.55,159.52671821305842
2017-03-19,615,615,109150.1,177.479837398374
2017-03-26,654,654,106536.62,162.90003058103974
2017-04-02,565,565,101968.56,180.4753274336283
2017-04-09,586,586,107591.89,183.60390784982934
2017-04-16,443,443,70433.91,158.9930248306998
2017-04-23,571,571,101204.25,177.24036777583188
2017-04-30,671,671,107374.68,160.0218777943368
2017-05-07,788,788,119916.92,152.17883248730965
2017-05-14,794,794,131604.13,165.74827455919396
2017-05-21,940,940,142958.49,152.0835
2017-05-28,784,784,135076.45,172.29139030612245
2017-06-04,836,836,135208.52,161.73267942583732
2017-06-11,847,847,131083.7,154.76233766233767
2017-06-18,753,753,120530.41,160.0669455511288
2017-06-25,661,661,104923.94,158.73515885022692
2017-07-02,730,730,111034.01,152.10138356164381
2017-07-09,841,841,128035.67,152.24217598097502
2017-07-16,959,959,137465.52,143.3425651720542
2017-07-23,963,963,144436.18,149.98564901349948
2017-07-30,927,927,133824.27,144.36275080906148
2017-08-06,984,984,143169.84,145.49780487804878
2017-08-13,939,939,151755.66,161.6141214057508
2017-08-20,1044,1044,150898.21,144.5385153256705
2017-08-27,890,890,126949.11,142.63944943820223
2017-09-03,1009,1009,206018.63999999998,204.18101090188304
2017-09-10,904,904,157273.51,173.97512168141594
2017-09-17,1164,1164,186891.12,160.55938144329897
2017-09-24,994,994,152297.3,153.2165995975855
2017-10-01,964,964,169294.72,175.6169294605809
2017-10-08,999,999,169493.93,169.6635935935936
2017-10-15,1070,1070,180689.57,168.8687570093458
2017-10-22,1147,1147,192660.62,167.96915431560592
2017-10-29,978,978,164124.25,167.81620654396727
2017-11-05,942,942,169625.3,180.06932059447982
2017-11-12,1217,1217,189483.29,155.69703368940017
2017-11-19,1313,1313,209033.47,159.202947448591
2017-11-26,3008,3008,478796.24,159.1742819148936
2017-12-03,2098,2098,315537.12,150.3990085795996
2017-12-10,1692,1692,265331.61,156.8153723404255
2017-12-17,1401,1401,221389.89,158.02276231263383
2017-12-24,978,978,153403.43,156.85422290388547
2017-12-31,877,877,121484.01,138.52224629418473
2018-01-07,1383,1383,215181.07,155.5900723065799
2018-01-14,1785,1785,278807.98,156.19494677871148
2018-01-21,1750,1750,262795.33,150.16876000000002
2018-01-28,1591,1591,248748.04,156.34697674418607
2018-02-04,1598,1598,233606.21,146.18661451814768
2018-02-11,1584,1584,238473.08,150.55118686868687
2018-02-18,1640,1640,230433.78,140.5084024390244
2018-02-25,1756,1756,249589.34,142.13515945330295
2018-03-04,1903,1903,303391.99,159.42826589595376
2018-03-11,1643,1643,269508.58,164.0344370054778
2018-03-18,1595,1595,257300.03,161.31663322884012
2018-03-25,1716,1716,271789.06,158.3852331002331
2018-04-01,1471,1471,241684.15,164.29921821889872
2018-04-08,1590,1590,265234.59,166.81420754716981
2018-04-15,1554,1554,270870.54,174.30536679536678
2018-04-22,1672,1672,274113.4,163.9434210526316
2018-04-29,1676,1676,275341.34,164.28480906921243
2018-05-06,1770,1770,286672.43,161.96182485875707
2018-05-13,1987,1987,342216.01,172.22748364368394
2018-05-20,1837,1837,300572.76,163.621535111595
2018-05-27,954,954,155125.69,162.60554507337525
2018-06-03,1083,1083,209680.35,193.61066481994462
2018-06-10,1438,1438,241777.37,168.134471488178
2018-06-17,1514,1514,259652.17,171.50077278731837
2018-06-24,1457,1457,228105.75,156.55851063829786
2018-07-01,1401,1401,224157.43,159.99816559600285
2018-07-08,1196,1196,187346.96,156.64461538461538
2018-07-15,1001,1001,196745.62,196.54907092907092
2018-07-22,1678,1678,266519.0,158.83134684147794
2018-07-29,1646,1646,285928.36,173.71103280680435
2018-08-05,2058,2058,328753.25,159.74404761904762
2018-08-12,1988,1988,335350.9,168.68757545271632
2018-08-19,1875,1875,296199.4,157.97301333333334
2018-08-26,1071,1071,148464.45,138.62226890756304
2018-09-02,130,130,14597.43,112.28792307692308
2018-09-09,7,7,2901.84,414.54857142857145
2018-09-16,4,4,808.46,202.115
2018-09-23,2,2,276.04,138.02
2018-09-30,3,3,453.2,151.06666666666666
2018-10-07,2,2,277.93,138.965
2018-10-14,0,0,0.0,
2018-10-21,2,2,311.74,155.87
